raw_data,packet_len,ad_cnt,ad_len,ad_type,label,classic_bluetooth,manufacturer_or_service
0201061bff2909c81c16102233d584fc42337754a09bc225cd90ad48bca00a0909552d424c444f5859,82,3,"[2, 27, 9]","['01', 'ff', '09']",non_tracker,no,1
02011809ff75004016fd6c648211073a048f2ba97ea6ae1b49c619e973a4a71b0947616c6178792042756473204c69766520284644364329204c95,118,4,"[2, 9, 17, 27]","['01', 'ff', '07', '09']",non_tracker,yes,1
02811f0319c0000aff750001000200010202180947616c6178792057617463683320283632423029204c45,86,4,"[2, 3, 10, 24]","['81', '19', 'ff', '09']",non_tracker,unknown,1
1eff4c00121910000908a43dc523a0f2d037a0708e4e76f9e1f63e9fec03c1,62,1,[30],['ff'],tracker,unknown,1
020106020a000302101808ff0e02012c0000001e09424c45536d6172745f3030303030333844433232374432453335304638,100,5,"[2, 2, 3, 8, 30]","['01', '0a', '02', 'ff', '09']",non_tracker,no,1
0201061bff2909c81c1a102233d584fc42337754da9ea0e6d2601a72ce73b30909552d424c444f5853,82,3,"[2, 27, 9]","['01', 'ff', '09']",non_tracker,no,1
02011808ff7d02010303ffff0816eefd0101000f01020a0017094855415745492057415443482047542032652d434145,96,5,"[2, 8, 8, 2, 23]","['01', 'ff', '16', '0a', '09']",non_tracker,yes,1
1eff4c00121910711ad7443037f58e1f7f360fdc53ca4d1b2eeb3be25d0256,62,1,[30],['ff'],tracker,unknown,1
0201041716eefd01010002c70300013504010b430f0111f3130605,54,2,"[2, 23]","['01', '16']",non_tracker,no,1
1eff060001092002b647e0fa5c59ac4fd9dedea95375420c1c37da5da57d21,62,1,[30],['ff'],non_tracker,unknown,1
02010603021b1810161b1806a4b20701010001360000680106094d4942465309ff57018822b2f29972,82,5,"[2, 3, 16, 6, 9]","['01', '02', '16', '09', 'ff']",non_tracker,no,1
07ff4c0012020081,16,1,[7],['ff'],non_tracker,unknown,1
0201060f1695fe3058690901ee14328672cc08,38,2,"[2, 15]","['01', '16']",non_tracker,no,1
0b16eefd0503000603810200,24,1,[11],['16'],tracker,unknown,1
0201001916eefd01010102c70300013504010b470f01100011f3130644,58,2,"[2, 25]","['01', '16']",non_tracker,yes,1
1eff4c00121910711ad7443037f58e1f7f360fdc53ca4d1b2eeb3be25d023e,62,1,[30],['ff'],tracker,unknown,1
0201061bff2909c81c30102233d584fc42337754d46a8a4b67f6c10106aaf50909552d424c444f5874,82,3,"[2, 27, 9]","['01', 'ff', '09']",non_tracker,no,1
0201060303edfe0d16edfe0200c400032139cf7b73050954696c65,54,4,"[2, 3, 13, 5]","['01', '03', '16', '09']",tracker,no,1
02010407ff72fddcb222881309485541574549205363616c6520332d303839020a75,68,4,"[2, 7, 19, 2]","['01', 'ff', '09', '0a']",non_tracker,no,1
