raw_data,packet_len,ad_cnt,ad_len,ad_type,label,classic_bluetooth,bluetooth_unknown,bluetooth_yes,bluetooth_no,manufacturer_or_service
0201040302f0ff1116eefd0101010f00100011ed124d3030461709485541574549205363616c6520332050726f2d30333705120c000c55,110,5,"[2, 3, 17, 23, 5]","['01', '02', '16', '09', '12']",non_tracker,no,0,0,1,1
020105100950432d36304697534e30313933333411079ecadc240ee5a9e093f3a3b501004067,76,3,"[2, 16, 17]","['01', '09', '07']",non_tracker,no,0,0,1,0
020105100950432d3630565e534e30313933333411079ecadc240ee5a9e093f3a3b501004000,76,3,"[2, 16, 17]","['01', '09', '07']",non_tracker,no,0,0,1,0
1eff4c00121920ad47af05710fc6c36cfe25b0ba4734f99da649f080c702e506094d79546119,76,2,"[30, 6]","['ff', '09']",tracker,unknown,1,0,0,1
030344fd181644fdf32536829e05bedd01000000000000000000000011,58,2,"[3, 24]","['03', '16']",tracker,unknown,1,0,0,1
07ff4c001202640306094d79546194,30,2,"[7, 6]","['ff', '09']",tracker,unknown,1,0,0,1
07ff4c001202240206094d79546170,30,2,"[7, 6]","['ff', '09']",tracker,unknown,1,0,0,1
020105050260fe10180cff00000000004428a362e768031980031109597577656c6c2042502d594536373031,88,5,"[2, 5, 12, 3, 17]","['01', '02', 'ff', '19', '09']",non_tracker,no,0,0,1,1
07ff4c001202640306094d79546141,30,2,"[7, 6]","['ff', '09']",tracker,unknown,1,0,0,1
02010408ff7d02010300ffff0916023840dca518defa020a0412094855415745492042616e6420382d454678,88,5,"[2, 8, 9, 2, 18]","['01', 'ff', '16', '0a', '09']",non_tracker,no,0,0,1,1
0201040302f0ff1709485541574549205363616c6520332050726f2d30333705120c000c21,74,4,"[2, 3, 23, 5]","['01', '02', '09', '12']",non_tracker,no,0,0,1,0
0f1695fe3058ee250009c0c883eddc081e095869616f6d6920382d456c656374726f6465205363616c652043303059,94,2,"[15, 30]","['16', '09']",non_tracker,unknown,1,0,0,1
020105100950432d36304697534e30313933333411079ecadc240ee5a9e093f3a3b501004000,76,3,"[2, 16, 17]","['01', '09', '07']",non_tracker,no,0,0,1,0
030344fd181644fdf32536829e05bedd0100000000000000000000000006094d79546148,72,3,"[3, 24, 6]","['03', '16', '09']",tracker,unknown,1,0,0,1
0201040302f0ff1116eefd0101010f00100011ed124d3030461709485541574549205363616c6520332050726f2d30333705120c000c05,110,5,"[2, 3, 17, 23, 5]","['01', '02', '16', '09', '12']",non_tracker,no,0,0,1,1
1eff4c00121920ad47af05710fc6c36cfe25b0ba4734f99da649f080c702e506094d79546122,76,2,"[30, 6]","['ff', '09']",tracker,unknown,1,0,0,1
02010403020d1808ff7d02010300ffff,32,3,"[2, 3, 8]","['01', '02', 'ff']",non_tracker,no,0,0,1,1
0201060303031805ff5900005009160a18c52ee402698d04096e7567,56,5,"[2, 3, 5, 9, 4]","['01', '03', 'ff', '16', '09']",tracker,no,0,0,1,1
